port1,port2,port3,port4
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.59,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.58,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.57,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
-6.56,0.00,0.00,0.00
